id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,references,order,family,scientificName,Duplicated?,Native Status,C-value,order,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,Timeframe,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,recordSecurity,securityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID
1362266,Harvard University,NEBC,,PreservedSpecimen,54e1704f-ac35-4e9a-b808-a84ebe339e0b,barcode-00810860,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Liliales|Colchicaceae|Uvularia,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=1362266,Liliales,Liliaceae,Uvularia perfoliata,,Native,7,1878,834110,L.,Uvularia,,perfoliata,,,,,Species,,,,,,,,J. H. Pillsbury,,,1878-05-15,,Pre,5,15,135,,5-15-1878,,,,,,,,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,Springfield,,0,,,,,,,,,,,,,,,,,,in collection,en,,5/27/16 17:15,54e1704f-ac35-4e9a-b808-a84ebe339e0b,32,757db5e1-6394-4fb6-8e6b-d9c0e62dd969
1276711,Harvard University,NEBC,,PreservedSpecimen,5bb360c6-1b49-11e6-b5e0-001ec9fd629b,barcode-00868429,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Asparagales|Asparagaceae|Maianthemum,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=1276711,Asparagales,Liliaceae,Maianthemum trifolium,,Native,8,1878,826768,(L.) Sloboda,Maianthemum,,trifolium,,,,,Species,,,,,,,,J. H. Pillsbury,,,1878-05-24,,Pre,5,24,144,,24-5-1878,,,,,,,,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,Springfield,,0,,,,,,,,,,,,,,,,,,in collection,en,,5/16/16 5:34,5bb360c6-1b49-11e6-b5e0-001ec9fd629b,32,91bb0d25-2115-4847-9281-9b7b945e252b
591765,Harvard University,NEBC,,PreservedSpecimen,1c76ea1e-8213-4a2a-947b-3c23ea781eac,barcode-00463656,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Asparagales|Orchidaceae|Arethusa,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=591765,Asparagales,Orchidaceae,Arethusa bulbosa,,Native,9,1878,816846,L.,Arethusa,,bulbosa,,,,,Species,,,,,,,,S. Stebbins,,,,,Pre,,,,,,[collector mis-spelled as Stebbens],,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, locality",,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,,,1,,,,,,,,,,,,,,,,,,in collection,en,,12/20/20 7:51,1c76ea1e-8213-4a2a-947b-3c23ea781eac,32,d6c1969c-ba59-4e32-8a9f-ecc92a682d42
775778,Harvard University,NEBC,,PreservedSpecimen,a40a605c-ec84-4a36-a635-1a42ac6be2e9,barcode-00680137,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Poales|Cyperaceae|Fuirena,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=775778,Poales,Cyperaceae,Fuirena pumila,,Native,9,1878,823436,(Torr.) Spreng.,Fuirena,,pumila,,,,,Species,,,,,,,,M. L. Owen,,,1878-08-14,,Pre,8,14,226,,Aug. 14-1878,,,,,,,,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,Springfield,,0,,,,,,,,,,,,,,,,,,in collection,en,,1/15/15 8:55,a40a605c-ec84-4a36-a635-1a42ac6be2e9,32,bc1e5fe1-3dfd-4bc5-af6a-1202ca3d9d72
775780,Harvard University,GH,,PreservedSpecimen,a86778d4-440f-4219-a84a-34a2461a6679,barcode-00680142,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Poales|Cyperaceae|Fuirena,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=775780,Poales,Cyperaceae,Fuirena pumila,,Native,9,1878,823436,(Torr.) Spreng.,Fuirena,,pumila,,,,,Species,,,,,,,,M. L. Owen,,,1878-08-14,,Pre,8,14,226,,"Aug. 14, 1878",,,,,,,,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,Springfield,,0,,,,,,,,,,,,,,,,,,in collection,en,,1/15/15 8:56,a86778d4-440f-4219-a84a-34a2461a6679,30,be3631bb-7a7d-4378-9f89-d3ca889f092c
791093,Harvard University,NEBC,,PreservedSpecimen,da6e4e45-4297-4ca2-8639-a8aabeb49ad7,barcode-00712600,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Asparagales|Orchidaceae,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=791093,Asparagales,Orchidaceae,Cypripedium parviflorum ,,Native,9,1879,,(Willdenow) O. W. Knight,,,,,,,,,,,,,,,,J. H. Pillsbury,,,1879-07-06,,Pre,7,6,187,,7/6/79,,,,,,,,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,Springfield,,0,,,,,,,,,,,,,,,,,,in collection,en,,6/30/15 20:13,da6e4e45-4297-4ca2-8639-a8aabeb49ad7,32,3d483875-50bb-4e1d-a07e-acf870f91c48
975133,Harvard University,GH,,PreservedSpecimen,9a1ee0ee-4e19-4e87-a02f-7258b6b12a25,barcode-00631908,,Plantae|Charophyta|Streptophytina|Equisetopsida|Polypodiidae|Polypodiales|Thelypteridaceae|Phegopteris,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=975133,Polypodiales,Thelypteridaceae,Phegopteris hexagonoptera,,Native,7,1880,829138,(Michx.) Fée,Phegopteris,,hexagonoptera,,,,,Species,,,,,,,,S. Stebbins,,,1880-00-00,,Pre,0,0,,,1880,,,,,,,,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,Springfield,,0,,,,,,,,,,,,,,,,,,in collection,en,,7/1/16 16:33,9a1ee0ee-4e19-4e87-a02f-7258b6b12a25,30,28a0a027-1b73-4dc5-b28f-e63e4beb9354
1395253,Harvard University,NEBC,,PreservedSpecimen,387b80b8-ee10-4816-8e54-30df9a537480,barcode-01048779,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Poales|Cyperaceae|Eleocharis,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=1395253,Poales,Cyperaceae,Eleocharis robbinsii,,Native,9,1880,822102,Oakes,Eleocharis,,robbinsii,,,,,Species,,,,,,,,M. L. Owen,,,1880-07-09,,Pre,7,9,191,,"July 9, 1880",,,,,,,,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,Springfield,,0,,,,,,,,,,,,,,,,,,in collection,en,,5/30/16 0:45,387b80b8-ee10-4816-8e54-30df9a537480,32,39c07e25-2b1f-4253-a19a-9f37c78172a9
1395254,Harvard University,GH,,PreservedSpecimen,4e8e4686-5e9a-4eb9-a05c-70c9b607be08,barcode-01048780,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Poales|Cyperaceae|Eleocharis,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=1395254,Poales,Cyperaceae,Eleocharis robbinsii,,Native,9,1880,822102,Oakes,Eleocharis,,robbinsii,,,,,Species,,,,,,,,M. L. Owen,,,1880-07-09,,Pre,7,9,191,,July 9-1880,,,,,,,,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,Springfield,,0,,,,,,,,,,,,,,,,,,in collection,en,,5/30/16 0:45,4e8e4686-5e9a-4eb9-a05c-70c9b607be08,30,7da5f379-c51b-4adc-b9ec-15ab4cfa36f5
789340,Harvard University,AMES,,PreservedSpecimen,ac6d0ad2-4422-461a-9e21-e8b066e1f6dc,barcode-00728405,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Asparagales|Orchidaceae|Cypripedium,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=789340,Asparagales,Orchidaceae,Cypripedium reginae,,Native,9,1881,821222,Walter,Cypripedium,,reginae,,,,,Species,,,,,,,,A. Miellez,,,,,Pre,0,0,,,,,,,,,,,,"field values redacted: eventDate, verbatimEventDate, locality",,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,,,1,,,,,,,,,,,,,,,,,,in collection,en,,8/7/15 9:56,ac6d0ad2-4422-461a-9e21-e8b066e1f6dc,28,76530d76-fe8e-4daa-b8fe-54cab7cc675a
